text,text_length,text_cleaned
买回来就发现鞋子的尺寸有问题，很失望。,19,买回来就发现鞋子的尺寸有问题，很失望。
收到电脑了，功能比想象中好，颜色也好看。,20,收到电脑了，功能比想象中好，颜色也好看。
再也不在这家买了，书包的材质太让人失望了。，不推荐！,26,再也不在这家买了，书包的材质太让人失望了。，不推荐！
这个价钱买到这么好的手机，客服还这么好，太值了。，推荐！,28,这个价钱买到这么好的手机，客服还这么好，太值了。，推荐！
充电宝客服很棒，价格也合理，好评。,17,充电宝客服很棒，价格也合理，好评。
被图片骗了，实际水杯的物流很差，不值这个价。,22,被图片骗了，实际水杯的物流很差，不值这个价。
再也不在这家买了，耳机的材质太让人失望了。,21,再也不在这家买了，耳机的材质太让人失望了。
手机的质量太差了，非常后悔。，推荐！,18,手机的质量太差了，非常后悔。，推荐！
好评！耳机的质量很好，客服态度也好。！,19,好评！耳机的质量很好，客服态度也好。！
这个台灯的包装真的不行，不如实体店买。,19,这个台灯的包装真的不行，不如实体店买。
买回来用了几天，鞋子的做工确实好。,17,买回来用了几天，鞋子的做工确实好。
这个耳机的外观超出了我的预期，很惊喜。,19,这个耳机的外观超出了我的预期，很惊喜。
买回来就发现台灯的颜色有问题，很失望。。,20,买回来就发现台灯的颜色有问题，很失望。。
物流慢也就算了，充电宝的质量还这么差，差评。,22,物流慢也就算了，充电宝的质量还这么差，差评。
对比了好几家才选的这家，耳机的质量确实好。,21,对比了好几家才选的这家，耳机的质量确实好。
这个电脑的做工超出了我的预期，很惊喜。！,20,这个电脑的做工超出了我的预期，很惊喜。！
退货了，台灯的客服完全不能用，浪费时间。,20,退货了，台灯的客服完全不能用，浪费时间。
这个台灯的质量很差，和图片上的完全不一样。，不推荐！,26,这个台灯的质量很差，和图片上的完全不一样。，不推荐！
这个台灯的物流真的不行，不如实体店买。,19,这个台灯的物流真的不行，不如实体店买。
水杯功能很好，很满意！。,12,水杯功能很好，很满意！。
被图片骗了，实际手机的颜色很差，不值这个价。,22,被图片骗了，实际手机的颜色很差，不值这个价。
性价比很高的台灯，质量没让我失望。！,18,性价比很高的台灯，质量没让我失望。！
买回来就发现水杯的价格有问题，很失望。,19,买回来就发现水杯的价格有问题，很失望。
好评！充电宝的价格很好，客服态度也好。！建议大家参考。,27,好评！充电宝的价格很好，客服态度也好。！建议大家参考。
买回来就发现手机的做工有问题，很失望。,19,买回来就发现手机的做工有问题，很失望。
收到水杯了，客服比想象中好，颜色也好看。,20,收到水杯了，客服比想象中好，颜色也好看。
这个电脑的物流真的不行，不如实体店买。,19,这个电脑的物流真的不行，不如实体店买。
这个台灯的物流不行，建议大家别买。,17,这个台灯的物流不行，建议大家别买。
客服态度差，电脑的颜色也有问题，体验很差。,21,客服态度差，电脑的颜色也有问题，体验很差。
退货了，手机的颜色完全不能用，浪费时间。,20,退货了，手机的颜色完全不能用，浪费时间。
对比了好几家才选的这家，台灯的客服确实好。,21,对比了好几家才选的这家，台灯的客服确实好。
衣服包装很差，根本不值这个价。！建议大家参考。,23,衣服包装很差，根本不值这个价。！建议大家参考。
用了没几天电脑的物流就出问题了，差评。，不推荐！,24,用了没几天电脑的物流就出问题了，差评。，不推荐！
收到电脑了，颜色比想象中好，颜色也好看。,20,收到电脑了，颜色比想象中好，颜色也好看。
这个衣服的做工不行，建议大家别买。,17,这个衣服的做工不行，建议大家别买。
收到耳机了，包装比想象中好，颜色也好看。，推荐！,24,收到耳机了，包装比想象中好，颜色也好看。，推荐！
物流慢也就算了，电脑的做工还这么差，差评。,21,物流慢也就算了，电脑的做工还这么差，差评。
书包的包装太差了，非常后悔。！,15,书包的包装太差了，非常后悔。！
耳机材质很好，很满意！,11,耳机材质很好，很满意！
买回来就发现衣服的客服有问题，很失望。,19,买回来就发现衣服的客服有问题，很失望。
给家人买的水杯，他们说物流很好。,16,给家人买的水杯，他们说物流很好。
鞋子包装很差，根本不值这个价。,15,鞋子包装很差，根本不值这个价。
这个水杯的质量不错，推荐给大家。。,17,这个水杯的质量不错，推荐给大家。。
对比了好几家才选的这家，鞋子的物流确实好。！建议大家参考。,29,对比了好几家才选的这家，鞋子的物流确实好。！建议大家参考。
好评！充电宝的质量很好，客服态度也好。,19,好评！充电宝的质量很好，客服态度也好。
收到衣服了，包装比想象中好，颜色也好看。,20,收到衣服了，包装比想象中好，颜色也好看。
这个水杯的价格超出了我的预期，很惊喜。,19,这个水杯的价格超出了我的预期，很惊喜。
买回来用了几天，衣服的物流确实好。,17,买回来用了几天，衣服的物流确实好。
性价比很高的衣服，客服没让我失望。,17,性价比很高的衣服，客服没让我失望。
给家人买的耳机，他们说客服很好。,16,给家人买的耳机，他们说客服很好。
