text,label,sentiment,text_length,text_cleaned
买回来用了几天，手表的颜色确实好。,1,正面,17,买回来用了几天，手表的颜色确实好。
衣服的尺寸真的是太差了，一次糟糕的购物体验。,0,负面,22,衣服的尺寸真的是太差了，一次糟糕的购物体验。
客服态度差，充电宝的功能也有问题，体验很差。,0,负面,22,客服态度差，充电宝的功能也有问题，体验很差。
用了没几天充电宝的物流就出问题了，差评。,0,负面,20,用了没几天充电宝的物流就出问题了，差评。
这个手机的物流超出了我的预期，很惊喜。,1,正面,19,这个手机的物流超出了我的预期，很惊喜。
水杯的做工真的是太差了，一次糟糕的购物体验。,0,负面,22,水杯的做工真的是太差了，一次糟糕的购物体验。
用了没几天鞋子的尺寸就出问题了，差评。，不推荐！,0,负面,24,用了没几天鞋子的尺寸就出问题了，差评。，不推荐！
第二次回购了，书包的材质一如既往的好。,1,正面,19,第二次回购了，书包的材质一如既往的好。
收到台灯了，做工很差，申请退货中。,0,负面,17,收到台灯了，做工很差，申请退货中。
这个价钱买到这么好的台灯，质量还这么好，太值了。,1,正面,24,这个价钱买到这么好的台灯，质量还这么好，太值了。
收到耳机了，做工比想象中好，颜色也好看。,1,正面,20,收到耳机了，做工比想象中好，颜色也好看。
用了没几天鞋子的材质就出问题了，差评。,0,负面,19,用了没几天鞋子的材质就出问题了，差评。
鞋子的功能很好，做工精细，很喜欢。,1,正面,17,鞋子的功能很好，做工精细，很喜欢。
书包物流很好，很满意！,1,正面,11,书包物流很好，很满意！
买回来就发现鞋子的客服有问题，很失望。！建议大家参考。,0,负面,27,买回来就发现鞋子的客服有问题，很失望。！建议大家参考。
充电宝的包装很好，做工精细，很喜欢。,1,正面,18,充电宝的包装很好，做工精细，很喜欢。
性价比很高的电脑，客服没让我失望。,1,正面,17,性价比很高的电脑，客服没让我失望。
台灯的物流太差了，非常后悔。,0,负面,14,台灯的物流太差了，非常后悔。
买回来用了几天，充电宝的颜色确实好。,1,正面,18,买回来用了几天，充电宝的颜色确实好。
收到手表了，包装比想象中好，颜色也好看。,1,正面,20,收到手表了，包装比想象中好，颜色也好看。
手表的尺寸真的是太差了，一次糟糕的购物体验。,0,负面,22,手表的尺寸真的是太差了，一次糟糕的购物体验。
用了没几天充电宝的质量就出问题了，差评。。,0,负面,21,用了没几天充电宝的质量就出问题了，差评。。
客服态度差，水杯的物流也有问题，体验很差。,0,负面,21,客服态度差，水杯的物流也有问题，体验很差。
这个手表的做工不行，建议大家别买。,0,负面,17,这个手表的做工不行，建议大家别买。
手表的材质很好，做工精细，很喜欢。,1,正面,17,手表的材质很好，做工精细，很喜欢。
收到耳机了，材质很差，申请退货中。,0,负面,17,收到耳机了，材质很差，申请退货中。
对比了好几家才选的这家，电脑的客服确实好。,1,正面,21,对比了好几家才选的这家，电脑的客服确实好。
物流慢也就算了，鞋子的材质还这么差，差评。！建议大家参考。,0,负面,29,物流慢也就算了，鞋子的材质还这么差，差评。！建议大家参考。
收到充电宝了，质量比想象中好，颜色也好看。！建议大家参考。,1,正面,29,收到充电宝了，质量比想象中好，颜色也好看。！建议大家参考。
鞋子客服很好，很满意！,1,正面,11,鞋子客服很好，很满意！
性价比很高的衣服，价格没让我失望。，不推荐！,1,正面,22,性价比很高的衣服，价格没让我失望。，不推荐！
给家人买的鞋子，他们说包装很好。,1,正面,16,给家人买的鞋子，他们说包装很好。
对比了好几家才选的这家，台灯的客服确实好。,1,正面,21,对比了好几家才选的这家，台灯的客服确实好。
退货了，充电宝的颜色完全不能用，浪费时间。,0,负面,21,退货了，充电宝的颜色完全不能用，浪费时间。
水杯的价格很好，做工精细，很喜欢。,1,正面,17,水杯的价格很好，做工精细，很喜欢。
这个价钱买到这么好的电脑，外观还这么好，太值了。,1,正面,24,这个价钱买到这么好的电脑，外观还这么好，太值了。
再也不在这家买了，充电宝的做工太让人失望了。,0,负面,22,再也不在这家买了，充电宝的做工太让人失望了。
收到鞋子了，客服比想象中好，颜色也好看。,1,正面,20,收到鞋子了，客服比想象中好，颜色也好看。
用了没几天书包的功能就出问题了，差评。,0,负面,19,用了没几天书包的功能就出问题了，差评。
太坑了，手机的质量和描述完全不一样。,0,负面,18,太坑了，手机的质量和描述完全不一样。
买回来就发现电脑的颜色有问题，很失望。,0,负面,19,买回来就发现电脑的颜色有问题，很失望。
手机的质量太差了，非常后悔。,0,负面,14,手机的质量太差了，非常后悔。
耳机物流很好，很满意！！,1,正面,12,耳机物流很好，很满意！！
收到书包了，颜色很差，申请退货中。,0,负面,17,收到书包了，颜色很差，申请退货中。
性价比很高的水杯，客服没让我失望。,1,正面,17,性价比很高的水杯，客服没让我失望。
再也不在这家买了，书包的包装太让人失望了。,0,负面,21,再也不在这家买了，书包的包装太让人失望了。
衣服的功能很好，做工精细，很喜欢。,1,正面,17,衣服的功能很好，做工精细，很喜欢。
鞋子的材质很好，做工精细，很喜欢。,1,正面,17,鞋子的材质很好，做工精细，很喜欢。
买回来用了几天，手机的客服确实好。,1,正面,17,买回来用了几天，手机的客服确实好。
衣服的外观超出预期，值得购买。,1,正面,15,衣服的外观超出预期，值得购买。
手机的物流太差了，非常后悔。,0,负面,14,手机的物流太差了，非常后悔。
收到电脑了，颜色比想象中好，颜色也好看。,1,正面,20,收到电脑了，颜色比想象中好，颜色也好看。
鞋子质量很棒，价格也合理，好评。，不推荐！,1,正面,21,鞋子质量很棒，价格也合理，好评。，不推荐！
手机的功能太差了，非常后悔。，推荐！,0,负面,18,手机的功能太差了，非常后悔。，推荐！
鞋子的外观很好，做工精细，很喜欢。,1,正面,17,鞋子的外观很好，做工精细，很喜欢。
再也不在这家买了，充电宝的颜色太让人失望了。,0,负面,22,再也不在这家买了，充电宝的颜色太让人失望了。
这个价钱买到这么好的手表，客服还这么好，太值了。,1,正面,24,这个价钱买到这么好的手表，客服还这么好，太值了。
性价比很高的台灯，价格没让我失望。,1,正面,17,性价比很高的台灯，价格没让我失望。
退货了，台灯的功能完全不能用，浪费时间。,0,负面,20,退货了，台灯的功能完全不能用，浪费时间。
买回来就发现水杯的质量有问题，很失望。,0,负面,19,买回来就发现水杯的质量有问题，很失望。
